               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.056146,             0.01208,           0.0048238,             0.91385,             0.95162,             0.96356,             0.59808,            0.043117,           0.0077426,            0.004236,           0.0054064,           0.0054064,           0.0054064
                 118,            0.047533,            0.011797,           0.0055713,             0.89303,              0.9855,             0.99147,             0.64268,            0.034883,           0.0078859,           0.0042221,           0.0053668,           0.0053668,           0.0053668
                 119,            0.041132,            0.010181,           0.0051631,             0.89303,              0.9855,             0.99147,             0.64268,            0.034883,           0.0078859,           0.0042221,           0.0053272,           0.0053272,           0.0053272
                 120,            0.039761,           0.0097578,           0.0049868,             0.92278,             0.98868,             0.98914,             0.64471,            0.033245,           0.0078047,           0.0041674,           0.0052876,           0.0052876,           0.0052876
                 121,            0.039536,            0.010923,           0.0052268,             0.75978,             0.96667,             0.95237,             0.58702,            0.045209,           0.0075043,           0.0042387,            0.005248,            0.005248,            0.005248
                 122,            0.047894,           0.0095619,           0.0057331,             0.75978,             0.96667,             0.95237,             0.58702,            0.045209,           0.0075043,           0.0042387,           0.0052084,           0.0052084,           0.0052084
                 123,            0.052414,            0.010283,           0.0052269,             0.94734,             0.96667,             0.98594,             0.69534,            0.034105,           0.0080124,           0.0043692,           0.0051688,           0.0051688,           0.0051688
                 124,             0.04053,           0.0090373,           0.0048401,             0.94734,             0.96667,             0.98594,             0.69534,            0.034105,           0.0080124,           0.0043692,           0.0051292,           0.0051292,           0.0051292
                 125,            0.040384,            0.012274,           0.0051637,             0.92369,             0.96667,             0.98462,             0.66139,            0.038881,           0.0079578,           0.0043299,           0.0050896,           0.0050896,           0.0050896
                 126,            0.041758,             0.01093,            0.004652,             0.92369,             0.96667,             0.98462,             0.66139,            0.038881,           0.0079578,           0.0043299,             0.00505,             0.00505,             0.00505
                 127,            0.045218,            0.010349,           0.0051001,              0.9645,             0.96667,             0.99313,             0.69178,            0.036859,           0.0077809,           0.0043643,           0.0050104,           0.0050104,           0.0050104
                 128,             0.03718,            0.010285,           0.0051245,             0.94798,             0.97386,               0.995,             0.68874,            0.037937,           0.0076038,           0.0044738,           0.0049708,           0.0049708,           0.0049708
                 129,             0.04968,           0.0094783,           0.0057521,             0.94798,             0.97386,               0.995,             0.68874,            0.037937,           0.0076038,           0.0044738,           0.0049312,           0.0049312,           0.0049312
                 130,            0.044239,           0.0081391,           0.0066307,             0.85667,             0.93593,             0.94138,             0.61242,            0.039538,           0.0078755,           0.0046115,           0.0048916,           0.0048916,           0.0048916
                 131,            0.043013,           0.0099913,           0.0093323,             0.85667,             0.93593,             0.94138,             0.61242,            0.039538,           0.0078755,           0.0046115,            0.004852,            0.004852,            0.004852
                 132,            0.040731,           0.0099646,           0.0052309,             0.93905,              0.9885,             0.99147,             0.71809,            0.033528,           0.0079256,           0.0046767,           0.0048124,           0.0048124,           0.0048124
                 133,            0.038568,             0.01056,           0.0049723,             0.93905,              0.9885,             0.99147,             0.71809,            0.033528,           0.0079256,           0.0046767,           0.0047728,           0.0047728,           0.0047728
                 134,            0.036529,           0.0099559,           0.0049335,             0.99645,             0.99318,               0.995,             0.76085,            0.028897,           0.0080441,           0.0047269,           0.0047332,           0.0047332,           0.0047332
                 135,            0.035462,           0.0088864,           0.0050521,             0.89433,             0.91793,             0.95943,             0.48902,            0.041811,           0.0077727,           0.0048169,           0.0046936,           0.0046936,           0.0046936
                 136,            0.045308,            0.011698,           0.0054646,             0.89433,             0.91793,             0.95943,             0.48902,            0.041811,           0.0077727,           0.0048169,            0.004654,            0.004654,            0.004654
                 137,            0.041764,           0.0093183,           0.0045713,             0.97745,             0.94802,                0.99,             0.76242,            0.030792,           0.0078814,           0.0047491,           0.0046144,           0.0046144,           0.0046144
                 138,            0.037346,            0.011092,           0.0053398,             0.97745,             0.94802,                0.99,             0.76242,            0.030792,           0.0078814,           0.0047491,           0.0045748,           0.0045748,           0.0045748
                 139,            0.038894,            0.010855,           0.0049205,             0.93789,             0.99841,             0.98093,             0.70647,            0.034414,           0.0078682,           0.0046608,           0.0045352,           0.0045352,           0.0045352
                 140,            0.039924,            0.011544,           0.0049684,             0.93789,             0.99841,             0.98093,             0.70647,            0.034414,           0.0078682,           0.0046608,           0.0044956,           0.0044956,           0.0044956
                 141,            0.036709,            0.010106,           0.0047523,             0.99469,                   1,               0.995,             0.79677,              0.0285,           0.0077212,           0.0045419,            0.004456,            0.004456,            0.004456
                 142,            0.032763,           0.0087384,           0.0045604,             0.78661,             0.90502,             0.93232,             0.65747,            0.034016,           0.0078254,           0.0044121,           0.0044164,           0.0044164,           0.0044164
                 143,            0.046155,            0.010868,           0.0059912,             0.78661,             0.90502,             0.93232,             0.65747,            0.034016,           0.0078254,           0.0044121,           0.0043768,           0.0043768,           0.0043768
                 144,            0.044135,            0.011363,           0.0046114,             0.74724,             0.92028,             0.92239,             0.66729,            0.038427,           0.0075177,           0.0043802,           0.0043372,           0.0043372,           0.0043372
                 145,            0.044251,            0.010867,            0.005892,             0.74724,             0.92028,             0.92239,             0.66729,            0.038427,           0.0075177,           0.0043802,           0.0042976,           0.0042976,           0.0042976
                 146,            0.038961,            0.010505,           0.0060567,             0.88114,             0.91351,             0.97848,             0.65953,            0.031148,           0.0078317,           0.0043803,            0.004258,            0.004258,            0.004258
                 147,            0.035962,           0.0098226,           0.0048154,             0.88114,             0.91351,             0.97848,             0.65953,            0.031148,           0.0078317,           0.0043803,           0.0042184,           0.0042184,           0.0042184
